Episode,Timestep,AttemptNum,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
1,28,0,0,0.64,0,18,1,0
3,23,0,0,0.6,2,37,2,0
4,16,0,0,0.52,2,50,3,0
4,25,0,0,0.51,2,58,4,0
5,10,0,0,0.61,2,63,5,0
5,12,0,0,0.65,2,64,6,0
5,14,0,0,1.01,2,65,7,0
5,18,0,0,0.55,2,68,8,0
5,26,0,0,0.57,2,75,9,0
5,27,0,0,0.58,2,75,10,0
6,10,0,0,0.6,2,78,11,0
6,16,0,0,0.67,2,83,12,0
6,17,0,0,0.5,2,83,13,0
7,11,0,0,0.71,3,84,14,0
9,14,0,0,0.61,4,104,15,1
9,15,0,0,0.53,4,104,16,1
10,10,0,0,0.69,5,108,17,1
10,12,0,0,0.56,5,109,18,1
10,14,0,0,0.64,5,110,19,1
10,18,0,0,0.52,5,113,20,1
10,22,0,0,0.53,5,116,21,1
10,10,0,0,0.6,5,116,22,1
10,11,0,0,0.52,5,116,23,1
10,12,0,0,0.58,5,116,24,1
10,13,0,0,0.61,5,116,25,1
10,14,0,0,0.56,5,116,26,1
10,16,0,0,0.64,5,117,27,1
12,20,0,0,0.55,6,128,28,2
12,28,0,0,0.56,6,135,29,2
14,10,0,0,0.68,7,138,30,2
14,11,0,0,0.58,7,138,31,2
17,11,0,0,0.67,9,162,32,2
17,14,0,0,0.81,9,164,33,2
17,26,0,0,0.55,9,175,34,2
17,28,0,0,0.62,9,176,35,2
17,30,0,0,0.51,9,196,36,2
